Year,Type,Country,Activity,Injury,Species,Fatal (Y/N),SharkSpecie
2010.0,Unprovoked,USA,Stand-Up Paddleboarding,"No injury, board bumped by shark",8' shark,N,
2010.0,Unprovoked,USA,Surfing,Lacerations to right foot,"Bull shark, 5'",N,bull shark
2010.0,Unprovoked,VIETNAM,Swimming,Laceration to left foot,1 m shark,N,
2010.0,Unprovoked,USA,Boogie Boarding,Lacerations to left calf and foot,4' shark,N,
2010.0,Provoked,USA,Fishing,Laceration to left calf by hooked shark PROVOKED INCIDENT,"Lemon shark, 4'",N,lemon shark
2010.0,Unprovoked,VIETNAM,Rescuing,Minor laceration to leg,20 to 30kg shark,N,
2010.0,Unprovoked,VIETNAM,Swimming,Severe lacerations to left foot,20 to 30kg shark,N,
2010.0,Unprovoked,USA,Wading,Minor puncture wounds to right ankle,4' shark,N,
2010.0,Provoked,USA,Measuring sharks,Arm bitten PROVOKED INCIDENT ,"Lemon shark, 6'",N,lemon shark
2010.0,Unprovoked,USA,Surfing,"No injury, surfboard bitten",14' shark,N,
2010.0,Unprovoked,SOUTH AFRICA,Surfing,Both feet bitten,2 m shark,N,
2010.0,Unprovoked,EGYPT,Swimming / treading water,Lacerations to left ankle and foot,"Oceanic whitetip shark, 6'",N,whitetip shark
2010.0,Unprovoked,REUNION,Surfing,"No injury, board bitten",1.5 m shark,N,
2010.0,Unprovoked,NEW ZEALAND,Swimming,Bruised but otherwise unhurt,Possibly a blue shark,N,blue shark
2010.0,Unprovoked,SOUTH AFRICA,Surfing,Lacerations to right leg,3 m shark,N,
2010.0,Unprovoked,AUSTRALIA,Snorkeling,Lacerations to legs & buttocks,2 m shark,N,
2010.0,Unprovoked,AUSTRALIA,Surfing,"Minor injury, lacerations to left lower leg","Wobbegong shark, 1.6m",N,
2010.0,Provoked,NEW ZEALAND,Spearfishing,"No injury, shark bit his speargun after he used it to prod the shark PROVOKED INCIDENT",2 m to 3 m shark,N,
2010.0,Unprovoked,AUSTRALIA,Body boarding,"No injury, shark & board collided","White shark, 2.5m",N,white shark
2010.0,Provoked,USA,Surf fishing / wading,Leg bitten while trying to free a hooked shark PROVOKED INCIDENT,"Spinner shark, 6'",N,
2010.0,Invalid,GUAM,Spearfishing (free diving),Shark bites were post-mortem,Invalid,,
2010.0,Provoked,NEW ZEALAND,Boogie Boarding,Stepped on shark PROVOKED INCIDENT,1.5 m shark,N,
2010.0,Unprovoked,BRAZIL,Surfing,Foot bitten,Thought to involve a juvenile hammerhead shark,N,hammerhead shark
2010.0,Unprovoked,SOUTH AFRICA,Standing,FATAL,White shark,Y,white shark
2010.0,Unprovoked,AUSTRALIA,Snorkeling,2 sets of minor lacerations below her right knee,"Whitetip reef shark, 1m",N,whitetip shark
2009.0,Unprovoked,MOZAMBIQUE,Swimming,Multiple lacerations to right torso & arm. Defense wounds on  hands,"Zambesi shark, 2m ",N,
2009.0,Unprovoked,AUSTRALIA,Spearfishing,Lacerations to hand & forearm,"Bull shark, 3m",N,bull shark
2009.0,Invalid,SOUTH AFRICA,Surfing,"Minor lacerations to left leg. nitially reported as a shark bite, but involved a barracuda",No shark involvement,,
2009.0,Unprovoked,NEW ZEALAND,Swimming to shore from capsized kayak,FATAL,"White shark, 2.8 to 3 m ",Y,white shark
2009.0,Boating,AUSTRALIA,Rowing,No injury to occupants; shark bit steering oar,White shark,N,white shark
2009.0,Provoked,USA,Diving,Lacerations & puncture wounds to right calf & ankle when diver accidentally backed into the shark  PROVOKED INCIDENT,"Sandtiger shark, 8'",N,tiger shark
2009.0,Invalid,USA,Surfing,Puncture wounds to right foot,Shark involvement not confirmed,,
2009.0,Unprovoked,USA,Wading,Left foot bitten,6' shark,N,
2009.0,Unprovoked,USA,Fishing,Puncture wounds and minor lacerations to dorsal surface of his left hand,Thresher shark,N,
2009.0,Unprovoked,USA,Surfing,Foot bitten,4' shark,N,
2009.0,Unprovoked,AUSTRALIA,Kayaking,Ankle bitten,2 m shark,N,
2009.0,Boating,AUSTRALIA,Kayaking,"No injury, shark bit kayak","White shark, 4m",N,white shark
2009.0,Unprovoked,MOZAMBIQUE,Spearfishing,Left ankle & foot bitten,Zambesi shark,N,
2009.0,Unprovoked,USA,Surfing,Bitten on upper right thigh & right ankle,6' to 8' shark,N,
2009.0,Provoked,SCOTLAND,Diving,15-20 puncture wounds to arm by captive shark  PROVOKED INCIDENT ,Angel shark,N,
2009.0,Unprovoked,AUSTRALIA,Diving,Severe lacerations to lower right leg,"Bull shark, 10'",N,bull shark
2009.0,Provoked,UNITED KINGDOM,Fishing,Injury to forearm from shark's spine PROVOKED INCIDENT ,Spurdog,N,
2009.0,Unprovoked,USA,Swimming,Laceration to right foot,"Bull shark, 8'",N,bull shark
2009.0,Invalid,USA,Swimming,FATAL,Shark involvement prior to death not confirmed,Y,
2009.0,Invalid,NEVIS,Swimming,Death was due to drowning. Two days later his remains were recovered from a 12' tiger shark,Invalid,,
2009.0,Unprovoked,USA,Surfing,No injury,4' shark,N,
2009.0,Unprovoked,SOUTH AFRICA,Surfing,FATAL,White shark,Y,white shark
2009.0,Unprovoked,USA,Swimming,Puncture wounds to left foot & calf,"White shark, 5' to 6' juvenile ",N,white shark
2009.0,Unprovoked,SOUTH AFRICA,Body boarding,"No injury, shark bit bodyboard","White shark, 2m",N,white shark
2009.0,Unprovoked,USA,Surfing,"No injury, surfboard bitten","Tiger shark, 12",N,tiger shark
2009.0,Unprovoked,USA,Wade Fishing,Right ankle & foot bitten,Bull shark?,N,bull shark
2009.0,Unprovoked,BAHAMAS,Spearfishing,Lacerations to calf,Bull shark,N,bull shark
2009.0,Invalid,SPAIN,Swimming,Laceration to left foot,Shark involvement questionable,,
2009.0,Provoked,BAHAMAS,Spearfishing,Leg bitten by shark that had been shot in the head by another diver PROVOKED INCIDENT,"Caribbean reef shark, 6'",N,
2009.0,Unprovoked,USA,Paddle-surfing,"No injury, shark collided with surfer & board",5' shark,N,
2009.0,Provoked,USA,Swimming,Thigh injured by hooked shark PROVOKED INCIDENT,"Nurse shark, 6'",N,nurse shark
2009.0,Unprovoked,AUSTRALIA,Surfing,2-inch laceration to upper left arm,"Thought to involve a Bronze whale shark, 2m",N,
2009.0,Invalid,USA,Surfing,Puncture wounds to foot,Shark involvement not confirmed,,
2009.0,Invalid,USA,Crawling,2-inch laceration to upper left arm,"Shark involvement probable, but not confirmed",,
2009.0,Provoked,VIETNAM,Fishing for sharks,Hand bitten by hooked shark PROVOKED INCIDENT,White shark,N,white shark
2009.0,Unprovoked,EGYPT,Scuba diving,Lacerations to left hand,Oceanic whitetip shark,N,whitetip shark
2009.0,Unprovoked,EGYPT,Scuba diving,3 cm laceration to shoulder,Oceanic whitetip shark,N,whitetip shark
2009.0,Unprovoked,EGYPT,Snorkeling,FATAL,"Oceanic whitetip shark, 2.5 to 3m",Y,whitetip shark
2009.0,Provoked,TAIWAN,Fishing,Lacerations to knee & left lower leg by electrocuted captive shark PROVOKED INCIDENT,80 kg shark,N,
2009.0,Provoked,USA,Swimming,Right foot bitten,5' to 8' shark,N,
2009.0,Unprovoked,USA,Surfing,Lacerations to left leg & foot,blacktip or spinner shark,N,blacktip shark
2009.0,Unprovoked,USA,Surfing,Lacerations to right foot,blacktip or spinner shark,N,blacktip shark
2009.0,Unprovoked,USA,Surfing,Lacerations to right hand,blacktip or spinner shark,N,blacktip shark
2009.0,Provoked,GUAM,Spearfishing,Speared shark bit his forearm PROVOKED INCIDENT,"Blacktip shark, 4'",N,blacktip shark
2009.0,Provoked,BAHAMAS,Spearfishing,Lacerations to right forearm after he poked the shark with his spear PROVOKED INCIDENT ,7' shark,N,
2009.0,Unprovoked,USA,Surfing,Laceration to forearm,2' to 3' shark,N,
2009.0,Invalid,USA,Spearfishing,Missing,Shark involvement not confirmed,,
2009.0,Unprovoked,AUSTRALIA,Surf skiing ,"No injury, catapulted into the water & ski damage",2' to 3' shark,N,
2009.0,Invalid,SOUTH AFRICA,Swimming,Body not recovered,Shark involvement not confirmed,,
2009.0,Unprovoked,USA,Spearfishing,Shark struck him but the diver was not injured,"White shark, 12' to 15' female",N,white shark
2009.0,Provoked,SOUTH AFRICA,Fishing ,Calf bitten while helping angler measure the shark during fishing competition PROVOKED INCIDENT,Raggedtooth shark,N,
2009.0,Unprovoked,AUSTRALIA,Surfing,"Laceration to right foot, puncture wounds to calf",Bronze whaler shark?,N,
2009.0,Unprovoked,USA,Surfing,Minor bite to ankle,3' to 4' shark,N,
2009.0,Unprovoked,MALAYSIA,Feeding fish,Minor injury,Blacktip reef shark pup,N,blacktip shark
2009.0,Unprovoked,USA,Swimming,"Minor injury, bite chest and left calf",Thought to involve a cookie cutter shark,N,
2009.0,Provoked,AUSTRALIA,Wading,Thigh bitten when he trod on the shark PROVOKED INCIDENT,"Wobbegong shark, 60cm",N,
2009.0,Provoked,SOUTH AFRICA,Fishing,Lacerations to arm and 2 fingers by hooked shark PROVOKED INCIDENT,"Blue shark, 1m",N,blue shark
2009.0,Unprovoked,AUSTRALIA,Surfing,Lacerations to leg,2.6 m shark,N,
2009.0,Unprovoked,AUSTRALIA,Surfing,Severe injury to hand ,"White shark, 2.5m ",N,white shark
2009.0,Unprovoked,AUSTRALIA,"Diving, but on the surface when bitten by the shark",Severe injuries to right hand & right thigh. Right hand  surgically amputated & his right leg a week later,"Bull shark, 2.7 m ",N,bull shark
2009.0,Unprovoked,AUSTRALIA,Surfing,"No injury, surfboard dented","White shark, 12' ",N,white shark
2009.0,Invalid,BRAZIL,,Probable drowning with post-mortem bites,Shark involvement prior to death was not confirmed,,
2009.0,Unprovoked,CUBA,Spearfishing,Severe lacerations to lower left leg,Bull shark,N,bull shark
2009.0,Unprovoked,SOUTH AFRICA,Swimming,FATAL,Tiger shark,Y,tiger shark
2009.0,Invalid,BRAZIL,Swimming,"Drowned, body scavenged by shark",Invalid,,
2009.0,Boat,AUSTRALIA,Fishing,"No injury to occupants, shark bit propeller","White shark, 5.5 m ",N,white shark
2009.0,Unprovoked,SOUTH AFRICA,,FATAL,White sharks,Y,white shark
2009.0,Unprovoked,AUSTRALIA,Snorkeling,Puncture wounds to right calf,"Dusky shark, 2m",N,
2009.0,Unprovoked,AUSTRALIA,Surfing,Severe lacerations to right leg,"White shark, 5m",N,white shark
2009.0,Unprovoked,AUSTRALIA,Surfing,Left thigh severely bitten,"White shark, 3.5m",N,white shark
2009.0,Boat,NEW ZEALAND,Fishing,"No injury to occupants, shark hit boat & bit outboard motor","Mako shark, 3m",N,mako shark
2009.0,Unprovoked,NEW ZEALAND,Swimming,Posterior thigh bitten,Broadnose sevengill shark,N,
2009.0,Unprovoked,CUBA,Spearfishing,Lacerations to right calf,Bull shark,N,bull shark
2008.0,Invalid,AUSTRALIA,Crabbing,"Reports said a shark attacked the dinghy, but Vickery said it did not",No shark involvement,,
2008.0,Boating,AUSTRALIA,Yacht race,No injury to occupants -  shark became entangled in aft rudder,2 m shark,N,
2008.0,Boating,AUSTRALIA,Kayaking,"No injury, shark struck kayak, catapulting him into the water","White shark, 4m to 5m ",N,white shark
2008.0,Unprovoked,AUSTRALIA,Snorkeling,FATAL,4 to 5m white shark,Y,white shark
2008.0,Boating,USA,Kayaking,"No injury, shark struck paddle",White shark,N,white shark
2008.0,Unprovoked,NEW ZEALAND,Fishing,Lacerations to left calf and ankle,Bronze whaler shark?,N,
2008.0,Provoked,SOUTH AFRICA,Fishing,"Lacerations to knees, thigh and hip by hooked shark PROVOKED iNCIDENT  ","Raggedtooth shark, 2m",N,
2008.0,Boating,AUSTRALIA,Fishing,Shark bit boats sea anchor,"White shark, 4.5 to 5 m ",N,white shark
2008.0,Unprovoked,MOZAMBIQUE,Spearfishing,FATAL,Zambesi shark?,Y,
2008.0,Unprovoked,EGYPT,Scuba diving,Lacerations to fingers,Oceanic whitetip shark,N,whitetip shark
2008.0,Boating,AUSTRALIA,Fishing,"No injury to occupant, shark bit dinghy & motor",Bronze whaler shark,N,
2008.0,Provoked,AUSTRALIA,Scuba diving,Small laceration to head from captive shark,"Grey nurse shark, 3m",N,nurse shark
2008.0,Unprovoked,NEW CALEDONIA,Spearfishing,Legs bitten,Lemon shark,N,lemon shark
2008.0,Provoked,AUSTRALIA,Fishing,Right leg injured by hook and hooked shark PROVOKED INCIDENT," reef shark, 1.8m",N,
2008.0,Unprovoked,CROATIA,Spearfishing,Calf bitten,5 m white shark,N,white shark
2008.0,Unprovoked,USA,Surfing,Right foot bitten,+3' shark,N,
2008.0,Provoked,AUSTRALIA,Swimming,Right hand lacerated by netted shark PROVOKED INCIDENT,Bronze whaler shark,N,
2008.0,Unprovoked,USA,Swimming,Lacerations to foot,2' to 3' juvenile shark,N,
2008.0,Unprovoked,USA,Surfing,Bitten on right thigh & calf,Tiger shark,N,tiger shark
2008.0,Unprovoked,USA,Surfing,"No injury to surfer, board bitten","White shark, 14' to 16' ",N,white shark
2008.0,Unprovoked,AUSTRALIA,Surfing,Shark became tangled in his surfboard leash. The surfer was not injured,3 m shark,N,
2008.0,Unprovoked,USA,Surfing,Shark bumped right ankle,4' shark,N,
2008.0,Invalid,USA,Swimming,Death was probably due to drowning,Shark involvement not confirmed,,
2008.0,Provoked,ENGLAND,Fishing,Wrist bitten by hooked shark PROVOKED INCIDENT,Blue shark,N,blue shark
2008.0,Unprovoked,USA,Surfing,Lacerations to lower left leg,6' shark,N,
2008.0,Invalid,USA,Surfing,Calf bitten,Shark involvement not confirmed,,
2008.0,Invalid,USA,,Minor injuries,Shark involvement not confirmed,,
2008.0,Unprovoked,USA,Treading water,Severe lacerations to left foot,8' bull shark or Caribbean reef shark,N,bull shark
2008.0,Unprovoked,USA,Diving,"No injury, shark grabbed his bag of fish","Tiger shark, 12'",N,tiger shark
2008.0,Unprovoked,AUSTRALIA,Surfing,"No injury, surfboard leash severed",8' white shark or 7-gill shark,N,white shark
2008.0,Unprovoked,SOUTH AFRICA,,Lacerations to fingers,White shark,N,white shark
2008.0,Unprovoked,PANAMA,Swimming or surfing,5 lacerations to left foot,3'  shark,N,
2008.0,Unprovoked,MEXICO,Swimming,3 puncture wounds to toe,2'  shark,N,
2008.0,Unprovoked,USA,Swimming,Minor injury,2' to 3' reef shark,N,
2008.0,Unprovoked,USA,Wading,Minor lacerations to  toe,3' shark,N,
2008.0,Unprovoked,USA,Wading,Lacerations to dorsum of right foot ,3' to 4' shark,N,
2008.0,Unprovoked,USA,Wading,Lacerations to lower left leg,4' shark,N,
2008.0,Unprovoked,EGYPT,Diving,Leg severed,Oceanic whitetip shark,N,whitetip shark
2008.0,Invalid,USA,Body surfing,"Bruises, abrasions and some spinal and nerve damage when collided with marine animal, possibly a shark or dolphin.",Shark involvement not confirmed,,
2008.0,Boating,UNITED KINGDOM,Rowing an inflatable dinghy,Shark leapt into & damaged the dinghy but no injury to occupants,"Starry smoothhound shark, 1m",N,
2008.0,Invalid,USA,Wading,Probable drowning with post-mortem bites,Shark involvement prior to death not confirmed,,
2008.0,Unprovoked,BAHAMAS,Spearfishing,Lacerations to calf,"Bull shark, 6' to 7'",N,bull shark
2008.0,Unprovoked,SOUTH AFRICA,Surf skiing ,"No injury, ski bitten","White shark, 2m",N,white shark
2008.0,Unprovoked,SOUTH AFRICA,Spearfishing (free diving),No injury,"White shark, 4.5m",N,white shark
2008.0,Unprovoked,USA,Swimming,Lacerations to hand,4.5 to 5' shark,N,
2008.0,Boating,USA,Kayaking," No injury. Shark bumped kayak, flinging her into the  water. ","White shark, 15'",N,white shark
2008.0,Boating,SCOTLAND,Fishing,No injury to occupants; shark struck their boat,Basking shark,N,
2008.0,Unprovoked,USA,Body surfing,Foot bitten,5' shark,N,
2008.0,Unprovoked,BRAZIL,Swimming,"Hand severed, buttocks bitten",Bull shark,N,bull shark
2008.0,Sea Disaster,BAHAMAS,Sea Disaster,Boat capsized in squall. 2 bodies scavenged  by sharks,Tiger sharks in area,N,tiger shark
2008.0,Unprovoked,MEXICO,Surfing,Lacerations to right forearm and hand,3 m shark,N,
2008.0,Unprovoked,MEXICO,Surfing,FATAL,2 m shark,Y,
2008.0,Unprovoked,AUSTRALIA,Swimming,Severe lacerations to left leg,"White shark, 4m",N,white shark
2008.0,Unprovoked,NEW CALEDONIA,Fishing,Lower legs bitten,2 small bull sharks,N,bull shark
2008.0,Unprovoked,MEXICO,Surfing,FATAL    Severe bite to right thigh,Tiger shark,Y,tiger shark
2008.0,Unprovoked,USA,Surfing,3-inch laceration to dorsal surface of left foot,4' shark,N,
2008.0,Unprovoked,NEW CALEDONIA,Swimming,Lacerations to left foot,"Bull shark, 1.8m",N,bull shark
2008.0,Unprovoked,USA,Swimming,FATAL,"White shark, 12' to 15'",Y,white shark
2008.0,Unprovoked,AUSTRALIA,,,"Tiger shark, 2.3m ",UNKNOWN,tiger shark
2008.0,Invalid,SOUTH AFRICA,Free-diving,"As he pushd the shark away from his camera, his finger was cut on a tooth","Tiger shark, 13' female",,tiger shark
2008.0,Invalid,MEXICO,Swimming,Probable drowning with post-mortem bites,"Reported by media as shark attack, but shark involvement prior to death was not confirmed",,
2008.0,Invalid,AUSTRALIA,Surfing,2 puncture wounds to leg,Shark involvement not confirmed; thought to be a barracuda bite,,
2008.0,Unprovoked,USA,Surfing,Puncture wounds to right foot,1.5' to 2' shark,N,
2008.0,Unprovoked,USA,Wading,Shin bitten,6' shark,N,
2008.0,Unprovoked,AUSTRALIA,Body boarding,FATAL,Bull shark,Y,bull shark
2008.0,Unprovoked,USA,Surfing,Foot bitten,4' to 5' shark,N,
2008.0,Unprovoked,USA,Boogie Boarding,Right foot bitten,a small shark,N,
2008.0,Unprovoked,USA,Walking out of the water after surfing,Three small lacerations/ punctures to right foot,2.5' shark,N,
2008.0,Unprovoked,USA,Jet skiing,Minor injury,Shark involvement not confirmed,N,
2008.0,Unprovoked,USA,Surfing,"No injury to surfer, surfboard bitten by the shark",White shark,N,white shark
2008.0,Unprovoked,BAHAMAS,Diving,"Leg bitten, FATAL","A bull shark, according to some of the divers on the boat",Y,bull shark
2008.0,Unprovoked,AUSTRALIA,Surfing,Abrasions to elbow; collided with shark,1 m shark,N,
2008.0,Unprovoked,USA,Surf-skiing,Lacerations to foot,3' shark,N,
2008.0,Provoked,JAPAN,Diving,"No injury, captive shark attempted to bite diver's arm PROVOKED INCIDENTt","Goblin shark, 4.2'",,
2008.0,Unprovoked,SOUTH AFRICA,Surf-skiing,"No injury to surf-skiier, shark holed ski","Blacktip shark, 2m",N,blacktip shark
2008.0,Provoked,AUSTRALIA,Accidentally stood on hooked shark's tail before attempting to gut it ,Laceration to left knee PROVOKED INCIDENT,"Mako shark, 90kg",N,mako shark
2008.0,Invalid,NEW ZEALAND,Wading,"Stingray envenomation, not a shark",No shark involvement,,
2008.0,Boat,NEW ZEALAND,Attempting to chase shark out to sea,"No injury to occupants, pontoon punctured","Bronze whaler shark, 4m",N,
2008.0,Unprovoked,USA,Surfing,Left foot bitten,a small shark,N,
2008.0,Provoked,USA,Fishing for snapper,Minor injury to hand by hooked shark   PROVOKED INCIDENT,"Nurse shark, 10'",N,nurse shark
2008.0,Unprovoked,MEXICO,Surfing,Leg bitten,Possibly a hammerhead shark,N,hammerhead shark
2007.0,Unprovoked,ECUADOR,Surfing,Lacerations & puncture wounds  to left thigh,3 m shark,N,
2007.0,Invalid,BRITISH VIRGIN ISLANDS,Scuba diving,Shark bites were post-mortem,Invalid,,
2007.0,Unprovoked,AUSTRALIA,Surfing,Severe lacerations to right buttock,2 m shark,N,
2007.0,Unprovoked,AUSTRALIA,Swimming,Lacerations to hand,"""a small shark""",N,
2007.0,Invalid,AUSTRALIA,Swimming,Lacerations to left forearm,Not a shark attack; it was a hoax,,
2007.0,Unprovoked,USA,Surfing,"No injury, shark bit surfboard ",Tiger shark,N,tiger shark
2007.0,Unprovoked,BRAZIL,Removing fish from a trap,20 cm injury to left foot,2.27 m shark,N,
2007.0,Provoked,AUSTRALIA,Fishing,Minor injury to finger by netted shark PROVOKED INCIDENT,reef shark,N,
2007.0,Unprovoked,SOUTH AFRICA,Surfing,Lacerations to feet,1.5 to 2 m shark,N,
2007.0,Unprovoked,USA,Surfing,Cut to right knee,4' to 5' shark,N,
2007.0,Unprovoked,USA,Surfing,Lacerations to right leg,5' shark,N,
2007.0,Unprovoked,SOUTH AFRICA,Surfing,Lacerations to thigh,"White shark, 3m to 4m",N,white shark
2007.0,Invalid,MEXICO,Shark diving,White shark breached cage. No injury to occupants,Invalid,,
2007.0,Unprovoked,USA,Floating,Lacerations to left lower leg,Tiger shark,N,tiger shark
2007.0,Unprovoked,AUSTRALIA,Surf-skiing,small laceration to wrist,"White shark, 2.5m ",N,white shark
2007.0,Unprovoked,AUSTRALIA,Spearfishing,Laceration to calf,Bronze whaler shark,N,
2007.0,Unprovoked,USA,Surfing,4 scratches on left hand,3' to 4' shark,N,
2007.0,Unprovoked,USA,Surfing,Severe lacerations to right hand,"Blacktip shark, 5'",N,blacktip shark
2007.0,Unprovoked,NEW CALEDONIA,Swimming,FATAL,Tiger shark,Y,tiger shark
2007.0,Unprovoked,BAHAMAS,Spearfishing,Thigh bitten,Caribbean reef shark,N,
2007.0,Unprovoked,USA,Surfing,"No injury to surfer, surfboard bitten",White shark,N,white shark
2007.0,Unprovoked,EGYPT,Swimming,"Severe lacerations to lower left leg, ankle and foot",Oceanic whitetip sharks were in the vicinity,N,whitetip shark
2007.0,Invalid,USA,Scuba diving,Shark involvement prior to death unconfirmed,Shark involvement prior to death was not confirmed,,
2007.0,Unprovoked,USA,Surfing,Laceration to foot,4' shark,N,
2007.0,Unprovoked,USA,Surfing,Small lacerations to bottom of right big toe,3' shark,N,
2007.0,Unprovoked,SOLOMON ISLANDS,Spearfishing,Left thigh bitten,Gray reef shark,N,
2007.0,Unprovoked,USA,Surfing,"No injury, surfboard bitten",9.5' shark?,N,
2007.0,Unprovoked,USA,Snorkeling,"Minor injury, shark latched onto his abdomen","Nurse shark, 2' to 3' ",N,nurse shark
2007.0,Unprovoked,USA,Jumping,Tiny punctures to arm,"18"" to 24"" shark",N,
2007.0,Unprovoked,USA,Swimming,"3"" laceration to left forearm",Possibly a spinner shark,N,
2007.0,Unprovoked,USA,Body boarding,Laceration to right heel,"Tiger shark, 10' to 12' ",N,tiger shark
2007.0,Unprovoked,USA,Surfing,Lacerations to thigh & torso,"White shark, 12'",N,white shark
2007.0,Unprovoked,USA,Surfing,Left hand  bitten,3' shark,N,
2007.0,Unprovoked,USA,Surfing, 6 lacerations to left hand,3' shark,N,
2007.0,Provoked,USA,Diving,Minor injury from captive shark PROVOKED INCIDENT,Sand shark,N,sand tiger
2007.0,Provoked,USA,Fishing,Forearm bitten by hooked shark PROVOKED INCIDENT,Sandtiger shark,N,tiger shark
2007.0,Unprovoked,USA,Surfing,Foot bitten,4' to 5' shark,N,
2007.0,Unprovoked,USA,Floating near boat & observing bioluminesce,Puncture wounds to torso,Possibly a 6' bull shark,N,bull shark
2007.0,Unprovoked,USA,Swimming,"Minor injury, small lacerations to right foot", ,N,
2007.0,Unprovoked,USA,Jumped into the water,Lacerations to arm,Possibly a 10' bull shark,N,bull shark
2007.0,Unprovoked,USA,Surf paddling,"No injury, surfboard bumped by shark for 20 minutes","White shark, 12' ",N,white shark
2007.0,Boating,USA,Kayak Fishing,"No injury, kayak bitten",White shark,N,white shark
2007.0,Unprovoked,USA,Snorkeling,Left calf severely bitten, ,N,
2007.0,Unprovoked,AUSTRALIA,Wading,Calf bitten,"Bronze whaler shark, 1.5 m ",N,
2007.0,Unprovoked,USA,Swimming,Right calf bitten,2' to 3' shark,N,
2007.0,Provoked,NORWAY,Scuba diving,PROVOKED INCIDENT           No injury. Diver touched 'dead' shark; shark bit his equipment-covered arm,"3' small spotted catshark, Scyliorhinus canicula",N,
2007.0,Invalid,USA,Swimming,Foot injured. Shark involvment uncomfirmed,Shark involvement not confirmed,,
2007.0,Unprovoked,USA,Wading,Lacerations to right thigh & left foot,5' shark,N,
2007.0,Unprovoked,BAHAMAS,Spearfishing,"Lacerations to thumb, ring and pinky fingers of right hand ","Bull shark, 5' ",N,bull shark
2007.0,Unprovoked,REUNION,Body boarding,Minor injuries to thigh & knee ,2 m shark,N,
2007.0,Invalid,SENEGAL,Murder,,Questionable Incident,,
2007.0,Provoked,USA,Removing hook from shark,Lacerations to right  hand by hooked shark PROVOKED INCIDENT,"Lemon shark, 6' female ",N,lemon shark
2007.0,Unprovoked,USA,Surfing,6 to 8 puncture wounds to right hand,4' shark,N,
2007.0,Unprovoked,USA,Surfing,"No injury, board damaged",Tiger shark,N,tiger shark
2007.0,Invalid,USA,Surfing,Superficial injuries to upper leg may have been caused by surfboard fin,Shark involvement not confirmed,,
2007.0,Unprovoked,USA,Swimming,Right foot bitten,3' to 4' shark,N,
2007.0,Provoked,USA,Reviving a sedated shark,Left shin bitten by captive shark PROVOKED INCIDENT,A 10-year-old 94-pound pregnant blacktip reef shark,N,blacktip shark
2007.0,Provoked,ENGLAND,Fishing,Bitten on the nose by a hooked shark PROVOKED INCIDENT,"Lesser spotted dogfish, Scyliorhinus canicula, less than 80 cm in length",N,
2007.0,Unprovoked,AUSTRALIA,Wading,Left heel & calf bitten,2.5 m shark,N,
2007.0,Unprovoked,AUSTRALIA,Surfing,"No injury, shark's fin caught his leg",10' shark,N,
2007.0,Unprovoked,USA,Surfing,Knee bitten,4' to 5' shark,N,
2007.0,Unprovoked,SEYCHELLES,Snorkeling,No injury,"White shark, 2m ",N,white shark
2007.0,Invalid,AUSTRALIA,Swimming,Shark involvement prior to death unconfirmed,Shark involvement prior to death was not confirmed,,
2007.0,Unprovoked,USA,Snorkeling,Right foot bitten,"Tiger shark, 14' ",N,tiger shark
2007.0,Unprovoked,USA,Swimming,Circular bite on left thigh,6' to 8' shark,N,
2007.0,Provoked,BAHAMAS,Shark tagging,Lacerations to right upper arm by captive shark PROVOKED INCIDENT,"Lemon shark, >1 m ",N,lemon shark
2007.0,Unprovoked,AUSTRALIA,Swimming / jumping off a jetty,Lower leg & foot injured,"""a small shark""",N,
2007.0,Unprovoked,USA,Body boarding,Left foot bitten,blacktip or spinner shark,N,blacktip shark
2007.0,Unprovoked,USA,Surfing,Lacerations to left index finger & thumb ,3' to 4' shark,N,
2007.0,Boat,USA,Fishing,"No injury to occupants, shark holed the transom-mounted livewell ","Bull shark, 10' ",N,bull shark
2007.0,Unprovoked,NEW CALEDONIA,Surfing,Left foot bitten,Tiger shark,N,tiger shark
2007.0,Unprovoked,USA,Surfing,Lacerations to right ankle ,3' shark,N,
2007.0,Unprovoked,USA,Surfing,Punctures & lacerations to right calf & calf,4' to 5' shark,N,
2007.0,Unprovoked,AUSTRALIA,Surfing,Lacerations to 3 fingers of left hand ,1.5 m shark,N,
2007.0,Provoked,USA,Shark fishing,Right hand bitten by hooked shark PROVOKED INCIDENT,5' shark,N,
2007.0,Unprovoked,AUSTRALIA,Swimming,"Bruises to arm and hand, laceration to lower leg & minor injuries to foot",2 to 2.5 m shark,N,
2007.0,Provoked,NEW ZEALAND,Spearfishing,Leg bitten  by shark after he shot at it & missed  PROVOKED INCIDENT,Tiger shark,N,tiger shark
2007.0,Invalid,COSTA RICA,Swimming,Death due to drowning. Shark bite may have been postmortem,Shark involvement prior to death was not confirmed,,
2007.0,Unprovoked,NEW CALEDONIA,Spearfishing (free diving),Leg bitten,Tiger shark,N,tiger shark
2007.0,Boat,USA,Shrimping,"A large shark rammed boat, breaking prop shaft. No injury to occupants but boat sank several hours later",14' shark,N,
2007.0,Unprovoked,AUSTRALIA,Diving,Head & torso bitten,"White shark, 3m",N,white shark
2007.0,Invalid,AUSTRALIA,Swimming,Shark involvement prior to death unconfirmed,Shark involvement prior to death was not confirmed,,
